Car Make,Car Model,Country,Year,New_Segment,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
BMW,M4,German,2022,Lower Mainstream,3,473,47376,4.1,71800
Lamborghini,Aventador,Italian,2021,Premium,6.5,729,57377,2.9,393695
Mercedes-Benz,AMG C 63,German,2021,Lower,4,469,479,3.8,69900
Nissan,370Z,Japan,2021,Lower,3.7,350,276,5.3,30090
Porsche,Cayman,German,2022,Lower,2,300,28737,4.9,68000
BMW,i8,German,2022,Mainstream,1.5,369,184,4.2,147500
Chevrolet,Corvette Stingray,US,2021,Lower,6.2,495,47737,2.9,58900
Porsche,Taycan Turbo S,German,2022,Upper Mainstream,Electric,750,774,2.6,185000
Lamborghini,Aventador S,Italian,2021,Luxury,6.5,729,57377,2.9,417650
Ferrari,SF90 Stradale,Italian,2022,Luxury,4,986,59737,2.5,625000
Audi,RS7,German,2022,Lower Mainstream,4,591,59737,3.5,115000
McLaren,GT,UK,2022,Upper Mainstream,4,620,465,3.1,208000
BMW,M5,German,2022,Lower Mainstream,4.4,600,553,3.2,103500
Mercedes-Benz,SLS AMG,German,2021,Premium,4,730,59737,2.9,250000
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,63000
Ford,GT,US,2022,Luxury,3.5,660,55737,2.8,500000
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,5.0,46100
Porsche,Panamera Turbo S,German,2022,Upper Mainstream,4,630,67374,3.1,180000
Lamborghini,Urus,Italian,2021,Upper Mainstream,4,641,627,3.2,218000
Ferrari,Portofino,Italian,2022,Premium,3.9,591,561,3.4,250000
Audi,TT RS,German,2022,Lower Mainstream,2.5,394,354,3.6,70000
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,3.1,200000
BMW,i8,German,2022,Mainstream,Hybrid,369,184,4.2,148500
Porsche,718 Cayman,German,2022,Lower,2,300,28737,4.9,61500
Lamborghini,Aventador,Italian,2021,Luxury,6.5,770,531,2.8,417826
Ferrari,Portofino,Italian,2022,Upper Mainstream,3.9,612,561,3.3,245000
Audi,TT RS,German,2022,Lower,2.5,394,354,3.6,67800
McLaren,GT,UK,2022,Upper Mainstream,4,620,465,3.1,211300
BMW,M4,German,2022,Lower Mainstream,3,473,47376,4.1,71800
Mercedes-Benz,SLS AMG,German,2015,Upper Mainstream,6.2,622,468,3.5,222500
Chevrolet,Camaro SS,US,2022,Lower,6.2,455,455,4.0,43995
Ford,GT,US,2022,Luxury,3.5,660,55737,2.9,500000
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,4.8,45790
Porsche,911 Turbo S,German,2022,Upper Mainstream,3.8,640,59737,2.6,208000
McLaren,765LT,UK,2021,Premium,4,755,59737,2.8,358000
Lamborghini,Urus,Italian,2021,Upper Mainstream,4,641,627,3.6,218009
Mercedes-AMG,GT Black Series,German,2021,Premium,4,720,59737,3.1,325000
BMW,M5 Competition,German,2022,Lower Mainstream,4.4,617,553,3.1,103500
Audi,RS7,German,2022,Lower Mainstream,4,591,59737,3.5,115000
Aston Martin,Vantage,UK,2022,Mainstream,4,503,57375,3.5,152995
Ferrari,F8 Spider,Italian,2021,Premium,3.9,710,568,2.9,274280
Lexus,LC 500,Japan,2022,Lower Mainstream,5,471,398,4.4,102550
Porsche,Taycan,German,2022,Lower Mainstream,Electric,469,479,3.8,79900
Lamborghini,Aventador SVJ,Italian,2021,Luxury,6.5,759,531,2.8,517770
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Audi,RS6 Avant,German,2021,Lower Mainstream,4,591,59737,3.5,109000
McLaren,600LT Spider,UK,2021,Premium,3.8,592,457,2.8,256500
BMW,M4,German,2022,Lower Mainstream,3,473,47376,3.8,71800
Mercedes-Benz,AMG GT R,German,2021,Upper Mainstream,4,577,516,3.5,180000
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,64695
Ford,GT,US,2022,Luxury,3.5,660,55737,3.0,500000
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,5.0,48000
Porsche,Panamera Turbo S E-Hybrid,German,2021,Upper Mainstream,4,690,642,3.0,190000
Lamborghini,Urus,Italian,2021,Upper Mainstream,4,641,627,3.5,218000
Ferrari,Portofino M,Italian,2021,Upper Mainstream,3.9,612,561,3.4,235000
Audi,TT RS,German,2022,Lower,2.5,394,354,3.6,67600
McLaren,Artura,UK,2022,Upper Mainstream,3,671,531,3.0,225000
BMW,M2 CS,German,2022,Lower Mainstream,3,444,47376,3.8,84595
Mercedes-Benz,SLS AMG Black Series,German,2021,Premium,6.2,622,468,3.5,335000
Chevrolet,Camaro SS,US,2021,Lower,6.2,455,455,4.0,42000
Porsche,718 Boxster,German,2022,Lower,2,300,28737,4.9,63000
Lamborghini,Aventador SVJ,Italian,2020,Luxury,6.5,759,531,2.8,573966
Ferrari,SF90 Stradale,Italian,2022,Luxury,4,986,59737,2.5,625000
Audi,TT RS Coupe,German,2022,Lower,2.5,394,354,3.5,68000
McLaren,GT,UK,2020,Upper Mainstream,4,612,465,3.1,210000
BMW,Z4 Roadster,German,2022,Lower,2,255,295,5.2,50000
Mercedes-Benz,SLS AMG,German,2015,Upper Mainstream,6.2,622,468,3.6,200000
Chevrolet,Camaro SS Convertible,US,2022,Lower,6.2,455,455,4.0,49000
Ford,GT,US,2021,Luxury,3.5,660,55737,2.9,500000
Nissan,370Z Coupe,Japan,2020,Lower,3.7,332,27737,5.0,30090
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.6,142086
Bentley,Continental GT,UK,2022,Upper Mainstream,6,626,664,3.3,225000
Bugatti,Chiron,France,2021,Exotic,8,1479,118737,2.4,3000000
Dodge,Challenger SRT Hellcat,US,2022,Lower,6.2,717,656,3.5,68000
Jaguar,F-Type,UK,2022,Lower,2,296,295,5.4,63700
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,100000
Maserati,GranTurismo,Italian,2022,Mainstream,4.7,454,384,4.7,150980
Aston Martin,DBS Superleggera,UK,2021,Premium,5.2,715,664,3.2,304995
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,98395
Porsche,Panamera Turbo S E-Hybrid,German,2021,Upper Mainstream,4,689,642,3.0,190000
Lamborghini,Aventador SVJ,Italian,2021,Luxury,6.5,759,531,2.8,517000
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Audi,RS7,German,2022,Lower Mainstream,4,591,59737,3.5,117000
Mercedes-Benz,S63 AMG,German,2021,Mainstream,4,603,664,3.4,168000
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,64500
Ford,GT,US,2021,Luxury,3.5,660,55737,2.8,500000
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,4.7,46000
Porsche,718 Cayman GT4,German,2022,Lower Mainstream,4,414,37379,4.2,102000
Mercedes-AMG,C63 S Coupe,German,2021,Lower Mainstream,4,503,516,3.7,77500
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.5,147000
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,3.1,193000
BMW,M5,German,2022,Lower Mainstream,4.4,600,553,3.2,103500
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,64000
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,92950
Mercedes-AMG,GT 63 S,German,2021,Mainstream,4,630,664,3.1,162000
Audi,TT RS,German,2021,Lower,2.5,394,354,3.6,67600
Acura,NSX,Japan,2021,Mainstream,3.5,573,476,2.9,157500
Porsche,Cayman GT4,German,2021,Lower Mainstream,4,414,37379,4.2,102000
Lamborghini,Aventador S,Italian,2021,Luxury,6.5,730,57379,2.9,417826
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Audi,RS 5,German,2022,Lower Mainstream,2.9,444,443,3.5,76700
McLaren,570S Spider,UK,2020,Upper Mainstream,3.8,562,443,3.1,208800
BMW,M2 Competition,German,2022,Lower,3,405,47376,4.2,58900
Mercedes-Benz,C 63 AMG,German,2022,Lower,4,469,479,3.9,69000
Chevrolet,Camaro SS,US,2021,Lower,6.2,455,455,4.0,42000
Ford,Mustang GT,US,2022,Lower,5,460,42737,4.5,43000
Dodge,Challenger R/T,US,2021,Lower,5.7,372,4737737,5.1,35000
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.6,151000
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,105000
Alfa Romeo,4C Spider,Italian,2020,Lower,1.7,237,258,4.1,69000
Jaguar,F-Type,UK,2022,Lower,2,296,295,5.4,62500
Tesla,Roadster,US,2022,Upper Mainstream,Electric,1000,737,1.9,200000
Koenigsegg,Jesko,Sweden,2022,Exotic,5,1600,117376,2.5,3000000
Bugatti,Chiron Super Sport 300+,France,2021,Exotic,8,1578,118737,2.4,5200000
Rimac,Nevera,Croatia,2021,Exotic,Electric,1914,1696,1.85,2400000
Porsche,Cayman GT4,German,2022,Lower Mainstream,4,414,37379,4.2,102100
Chevrolet,Camaro ZL1,US,2022,Lower,6.2,650,65737,3.5,63000
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.5,142086
Alfa Romeo,Giulia Quadrifoglio,Italian,2022,Lower Mainstream,2.9,505,443,3.8,83250
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,65000
Lexus,LC 500,Japan,2022,Lower Mainstream,5,471,398,4.4,93050
Audi,RS 7 Sportback,German,2021,Lower Mainstream,4,591,59737,3.5,114000
BMW,M4 Competition,German,2022,Lower Mainstream,3,503,479,3.8,74700
Mercedes-Benz,C63 S AMG,German,2022,Lower Mainstream,4,503,516,3.9,77600
Ford,GT,US,2022,Luxury,3.5,660,55737,2.9,500000
McLaren,GT,UK,2021,Upper Mainstream,4,620,465,3.1,210000
Porsche,Panamera Turbo S,German,2022,Upper Mainstream,4,630,67374,2.9,181100
Lamborghini,Aventador S,Italian,2021,Luxury,6.5,730,57377,2.9,417826
Aston Martin,DBS Superleggera,UK,2022,Premium,5.2,715,664,3.2,329100
Audi,TT RS,German,2022,Lower,2.5,394,354,3.6,67600
Mercedes-Benz,AMG C43 Coupe,German,2021,Lower,3,385,384,4.5,59900
BMW,i8,German,2022,Mainstream,1.5,369,184,4.2,147500
Chevrolet,Corvette Stingray,US,2021,Lower,6.2,490,465,2.9,59900
Porsche,Taycan,German,2022,Lower Mainstream,2.0 (Electric),469,263,3.8,81250
Lamborghini,Aventador,Italian,2021,Luxury,6.5,730,57379,2.9,517000
Ferrari,Roma,Italian,2021,Upper Mainstream,3.9,611,56737,3.3,222620
Audi,RS7,German,2022,Lower Mainstream,4,591,59737,3.5,115000
McLaren,GT,UK,2021,Upper Mainstream,4,612,465,3.1,210000
BMW,M2,German,2022,Lower,3,405,47376,4.2,58900
Mercedes-Benz,C63 AMG,German,2021,Lower Mainstream,4,469,479,3.9,77000
Chevrolet,Camaro SS,US,2021,Lower,6.2,455,455,4.1,43995
Ford,Mustang Mach 1,US,2021,Lower,5,480,42737,4.1,51720
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,4.8,46610
Porsche,Panamera,German,2022,Lower Mainstream,2.9,325,331,5.3,88550
Lamborghini,Urus,Italian,2021,Upper Mainstream,4,641,627,3.6,218009
Ferrari,SF90 Stradale,Italian,2021,Luxury,4.0 (Hybrid),986,59737,2.5,625000
Audi,RS6,German,2022,Mainstream,4,591,59737,3.5,120000
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,3.1,192500
BMW,M4,German,2022,Lower Mainstream,3,503,479,3.8,74000
Mercedes-Benz,AMG A45,German,2021,Lower,2,382,354,4.0,50000
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,63995
Acura,NSX,Japan,2021,Mainstream,3.5,573,476,2.7,157500
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.5,142086
Bentley,Continental GT,UK,2021,Upper Mainstream,4,542,568,3.3,202500
Bugatti,Chiron,France,2022,Exotic,8,1479,118737,2.4,2900000
Ferrari,F8 Tributo,Italian,2022,Premium,3.9,710,568,2.8,275000
Lamborghini,Aventador,Italian,2021,Luxury,6.5,730,57379,2.9,517000
McLaren,GT,UK,2021,Upper Mainstream,4,612,465,3.1,201500
Mercedes-Benz,AMG GT R,German,2021,Upper Mainstream,4,577,516,3.5,183000
Porsche,Taycan Turbo S,German,2021,Upper Mainstream,Electric,750,774,2.6,185000
Audi,RS7,German,2021,Lower Mainstream,4,591,59737,3.5,114000
BMW,M4,German,2021,Lower Mainstream,3,473,47376,4.1,71800
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,63000
Dodge,Challenger SRT Hellcat Redeye,US,2022,Lower Mainstream,6.2,797,77377,3.5,80190
Ford,GT,US,2022,Luxury,3.5,660,55737,2.8,500000
Jaguar,F-Type,UK,2021,Lower,3,380,339,4.4,62750
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,92000
Lotus,Evija,UK,2021,Exotic,Electric,2000,1254,2.8,2800000
Maserati,GranTurismo,Italian,2021,Upper Mainstream,Electric,550,,2.8,200000
Nissan,370Z,Japan,2021,Lower,3.7,332,27737,5.0,30090
Rolls-Royce,Ghost,UK,2021,Premium,6.8,563,627,4.6,332500
Porsche,Taycan,German,2021,Lower Mainstream,2,402,254,5.1,81250
Aston Martin,DB11,UK,2021,Upper Mainstream,4,630,516,3.7,198995
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,105000
Acura,NSX,Japan,2022,Mainstream,3.5,573,476,2.7,157500
Tesla,Roadster,US,2022,Upper Mainstream,Electric,1000,737,1.9,200000
Chevrolet,Camaro,US,2022,Lower,6.2,455,455,4.0,25000
Dodge,Charger,US,2021,Lower Mainstream,6.2,797,77377,3.3,72000
Jaguar,F-Type,UK,2021,Lower,3,380,339,4.9,62750
Lexus,LC 500,Japan,2021,Lower Mainstream,5,471,398,4.4,93000
BMW,M4,German,2022,Lower Mainstream,3,473,47376,4.1,71800
Ford,GT,US,2021,Luxury,3.5,660,55737,2.9,500000
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.7,150980
McLaren,600LT,UK,2021,Premium,3.8,592,457,2.8,256500
Mercedes-Benz,SLS AMG,German,2021,Premium,6.2,622,468,3.6,254995
Nissan,370Z,Japan,2021,Lower,3.7,332,27737,5.2,30000
Audi,RS 7,German,2021,Lower Mainstream,4,591,59737,3.4,114000
Bentley,Continental GT,UK,2021,Upper Mainstream,4,542,568,3.9,220000
Bugatti,Chiron,France,2021,Exotic,8,1500,"1,18737",2.4,3000000
Porsche,Cayman,German,2022,Lower,2,300,28737,4.5,59900
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.5,147000
Alfa Romeo,4C Spider,Italian,2020,Lower,1.7,237,258,4.1,67150
Audi,RS 5,German,2022,Lower Mainstream,2.9,444,443,3.5,75100
BMW,M2,German,2022,Lower,3,405,47376,4.0,58900
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,60695
Ferrari,F8 Spider,Italian,2022,Premium,3.9,710,568,2.9,274390
Jaguar,F-Type,UK,2021,Lower,3,296,295,5.4,64700
Lamborghini,Aventador,Italian,2021,Luxury,6.5,759,531,2.9,517770
Lexus,LC 500,Japan,2022,Lower Mainstream,5,471,398,4.4,92950
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,99990
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.7,150800
McLaren,GT,UK,2021,Upper Mainstream,4,612,465,3.1,210000
Mercedes-Benz,AMG C 63,German,2021,Lower,4,469,479,3.8,67600
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,4.5,45790
Porsche,Panamera,German,2022,Lower Mainstream,2.9,325,331,5.3,88800
Subaru,WRX STI,Japan,2021,Lower,2.5,310,29737,5.2,38170
Tesla,Roadster,US,2022,Upper Mainstream,Electric,1000+,737,1.9,200000
Porsche,718 Cayman,German,2022,Lower,2,300,28737,4.9,61500
Lamborghini,Aventador,Italian,2021,Premium,6.5,729,57379,2.9,393695
Ferrari,SF90 Stradale,Italian,2022,Luxury,4,986,59737,2.5,625000
Audi,RS5 Coupe,German,2022,Lower Mainstream,2.9,444,443,3.5,76350
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,3.1,202000
BMW,M2,German,2022,Lower,3,405,47376,4.0,58900
Mercedes-Benz,SL,German,2022,Lower Mainstream,3,429,384,4.4,96000
Chevrolet,Camaro,US,2021,Lower,6.2,455,455,4.0,25000
Ford,GT,US,2022,Luxury,3.5,660,55737,2.8,500000
Nissan,370Z,Japan,2021,Lower,3.7,332,27737,5.3,33000
Alfa Romeo,Giulia Quadrifoglio,Italian,2021,Lower Mainstream,2.9,505,443,3.8,75250
Aston Martin,DB11,UK,2022,Upper Mainstream,4,630,516,3.7,201495
Bentley,Continental GT,UK,2021,Upper Mainstream,6,626,664,3.3,201000
Dodge,Challenger,US,2021,Lower,6.4,485,475,3.8,62000
Jaguar,F-Type R,UK,2022,Lower Mainstream,5,575,516,3.5,103200
Lexus,LC 500,Japan,2022,Lower Mainstream,5,471,398,4.4,92950
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,99000
Maserati,GranTurismo,Italian,2021,Mainstream,4.7,454,384,4.7,150000
Porsche,Cayman GT4,German,2021,Lower Mainstream,4,414,37379,4.2,102500
Aston Martin,Vantage,UK,2022,Mainstream,4,503,57375,3.5,149995
Dodge,Charger SRT Hellcat,US,2022,Lower Mainstream,6.2,717,65737,3.5,78595
Audi,RS 7,German,2021,Lower Mainstream,4,591,59737,3.5,114000
Chevrolet,Camaro SS,US,2022,Lower,6.2,455,455,4.1,37500
Ford,Mustang GT,US,2022,Lower,5,460,42737,4.0,38500
Jaguar,F-Type R,UK,2022,Lower Mainstream,5,575,516,3.5,103200
Lexus,LC 500,Japan,2022,Lower Mainstream,5,471,398,4.4,92950
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,3.1,208800
Mercedes-Benz,AMG C63,German,2022,Lower Mainstream,4,469,479,3.8,71450
Nissan,370Z Nismo,Japan,2021,Lower,3.7,350,276,4.9,47820
Porsche,Panamera GTS,German,2021,Mainstream,4,473,457,3.9,134150
Audi,TT RS,German,2022,Lower,2.5,394,354,3.6,67600
BMW,M4,German,2021,Lower Mainstream,3,473,47376,3.8,71800
Ferrari,F8 Tributo,Italian,2021,Premium,3.9,710,568,2.8,274280
Lamborghini,Aventador,Italian,2021,Premium,6.5,770,531,2.9,393695
McLaren,GT,UK,2021,Premium,4,612,465,3.1,250000
Mercedes-Benz,AMG GT 4-Door Coupe,German,2021,Mainstream,4,630,664,3.1,171200
Aston Martin,DBS Superleggera,UK,2022,Premium,5.2,715,663,3.4,321000
Lotus,Evora GT,UK,2021,Lower Mainstream,3.5,416,317,3.8,100500
Porsche,Taycan Turbo S,German,2021,Upper Mainstream,Electric,750,774,2.6,185000
McLaren,570S,UK,2021,Upper Mainstream,3.8,562,443,3.1,195000
Lamborghini,Aventador SVJ,Italian,2021,Luxury,6.5,759,531,2.8,517770
Ford,GT,US,2021,Luxury,3.5,660,55737,3.0,500000
Audi,RS7 Sportback,German,2022,Lower Mainstream,4,591,59737,3.5,114000
BMW,M4,German,2022,Lower Mainstream,3,473,47376,4.1,72800
Mercedes-AMG,C63 S,German,2022,Lower Mainstream,4,503,516,3.7,78100
Chevrolet,Camaro ZL1,US,2021,Lower,6.2,650,65737,3.5,63000
Dodge,Charger Hellcat,US,2021,Lower Mainstream,6.2,717,65737,3.6,70000
Alfa Romeo,Giulia Quadrifoglio,Italian,2021,Lower Mainstream,2.9,505,443,3.8,78450
Tesla,Model S Plaid,US,2022,Mainstream,Electric,1020,17375737,1.9,141190
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Porsche,Panamera Turbo S E-Hybrid,German,2021,Upper Mainstream,Hybrid,689,642,3.0,190000
McLaren,Artura,UK,2022,Upper Mainstream,3,671,531,3.0,225000
Lamborghini,Urus,Italian,2021,Upper Mainstream,4,641,627,3.6,222000
Ford,Mustang Mach 1,US,2021,Lower,5,480,42737,4.0,52915
Porsche,911,German,2022,Lower Mainstream,3,379,331,4.0,101200
Lamborghini,Huracan,Italian,2021,Premium,5.2,630,443,2.8,274390
Ferrari,488 GTB,Italian,2022,Premium,3.9,661,561,3.0,333750
Audi,R8,German,2022,Mainstream,5.2,562,47376,3.2,142700
McLaren,720S,UK,2021,Premium,4,710,568,2.7,298000
BMW,M8,German,2022,Mainstream,4.4,617,553,3.1,130000
Mercedes-Benz,AMG GT,German,2021,Lower Mainstream,4,523,494,3.8,118500
Chevrolet,Corvette,US,2021,Lower,6.2,490,465,2.8,59900
Ford,Mustang Shelby GT500,US,2022,Lower Mainstream,5.2,760,625,3.5,81000
Nissan,GT-R Nismo,Japan,2021,Upper Mainstream,3.8,600,481,2.5,212000
Dodge,Challenger SRT Hellcat,US,2021,Lower,6.2,717,656,3.5,64195
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.6,147000
Bugatti,Chiron,France,2022,Exotic,8,1500,118737,2.5,3900000
Koenigsegg,Jesko,Sweden,2022,Exotic,5,1280,173715,2.5,3000000
Pagani,Huayra,Italian,2021,Exotic,6,764,74737,2.8,2600000
Rimac,Nevera,Croatia,2022,Exotic,Electric,1914,1696,1.85,2400000
Lotus,Evija,UK,2022,Exotic,Electric,1973,1254,2.5,2000000
Pininfarina,Battista,Italian,2021,Exotic,Electric,1872,1696,1.9,2500000
Maserati,MC20,Italian,2021,Upper Mainstream,3,621,538,2.9,210000
Porsche,Cayman,German,2021,Lower,2,300,28737,5.1,59900
Lamborghini,Aventador,Italian,2021,Premium,6.5,730,57379,2.9,393695
Ferrari,SF90 Stradale,Italian,2021,Luxury,4,986,59737,2.5,625000
Audi,RS 5,German,2021,Lower Mainstream,2.9,444,443,3.5,75100
McLaren,GT,UK,2022,Upper Mainstream,4,612,465,3.1,210000
BMW,M2,German,2021,Lower,3,405,47376,4.0,58900
Mercedes-Benz,SLS AMG,German,2021,Premium,6.3,622,468,3.6,254500
Chevrolet,Camaro,US,2021,Lower,6.2,455,455,4.0,25000
Ford,Mustang,US,2021,Lower,2.3,310,35737,5.3,27205
Nissan,370Z,Japan,2021,Lower,3.7,332,27737,5.1,30090
Aston Martin,Vantage,UK,2021,Mainstream,4,503,57375,3.6,146000
Bugatti,Chiron,France,2021,Exotic,8,1479,118737,2.4,3000000
Koenigsegg,Jesko,Sweden,2022,Exotic,5,1280,117376,2.5,3000000
Lotus,Evija,UK,2021,Exotic,Electric,1972,1254,2.0,2000000
McLaren,Senna,UK,2021,Exotic,4,789,59737,2.7,1000000
Pagani,Huayra,Italian,2021,Exotic,6,764,738,3.0,2600000
Rimac,Nevera,Croatia,2021,Exotic,Electric,1888,1696,1.85,2400000
